pitch,energy,zero_crossings,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,lang
1.60E-05,0.057585318,49608,-356.24298,125.324585,27.860935,33.45747,18.822113,19.386312,-0.90406406,4.905903,-1.5738945,-3.9927967,-6.2172813,-7.789916,-2.10154,polish
8.71E-06,0.062196296,145852,-328.48114,114.4963,14.288265,32.620274,2.7795045,24.02592,-9.58312,-4.3944225,-5.103169,-2.548639,-2.7156482,-10.669606,0.06501986,polish
1.31E-06,0.061677795,164647,-312.33,68.063385,0.72405404,21.404442,-13.879148,12.062171,-13.713927,-2.043191,-18.685747,-6.670209,-14.369659,-1.0817627,-2.9056852,polish
1.23E-06,0.059151243,152553,-322.03488,73.93625,-7.6039615,22.830956,-20.59827,11.302327,-21.377037,-6.156278,-18.46109,-6.097716,-8.071012,-1.969586,-7.5327168,polish
-1.08E-07,0.056570638,114127,-315.75824,69.01978,-1.8628429,25.272236,-16.860468,15.262739,-15.319487,-1.1927797,-19.67649,-5.659936,-14.785434,-0.9821952,-2.2422206,polish
2.82E-06,0.047715344,85474,-345.9562,106.11976,-28.900501,7.817354,8.922241,-9.016489,-12.499148,1.3476676,-15.560656,-10.07652,-8.69225,-4.360152,-8.672697,polish
2.64E-06,0.0458436,81762,-351.2997,104.41203,-36.915604,13.480153,1.1713693,-13.913562,-10.83729,-4.3973174,-17.765816,-8.492429,-5.695854,-6.7120566,-5.567463,polish
5.79E-06,0.0446863,59178,-348.00403,104.86175,-31.156225,11.041228,8.380554,-7.359239,-13.008834,1.2986225,-16.33905,-9.594606,-8.806285,-4.476345,-7.892508,polish
1.61E-07,0.031065553,190474,-391.2055,98.237976,1.0553114,17.607584,5.5012712,1.9571515,-9.075675,-3.9957094,-6.62078,-9.893621,-4.739877,-9.434631,-11.111199,polish
7.91E-08,0.029794022,161219,-396.81842,100.417336,-5.4142203,19.479162,-1.7416008,-1.8208556,-12.92195,-4.9676685,-9.917238,-10.631107,-5.5493155,-13.395199,-4.826463,polish
-3.26E-07,0.029522676,120849,-394.25467,102.392815,0.023176877,20.40593,3.9999452,3.2998233,-9.913399,-4.1375995,-6.9255123,-10.443533,-4.762479,-9.495225,-11.002933,polish
-0.000307607,0.041237816,50672,-324.55338,140.01215,-22.383608,15.69242,18.136637,-6.077403,-12.522667,3.8864489,-8.009448,-3.5661862,1.1128922,-3.4868186,-1.1320486,polish
-0.000380232,0.038920574,50560,-343.35004,151.43277,-30.251389,19.869608,11.107843,-4.1595454,-16.338087,6.2319436,-6.148274,-4.695904,3.6117642,-4.534368,-1.1426977,polish
-0.000427195,0.039895657,32571,-332.86078,153.16173,-31.381876,23.584465,12.359536,-3.1701078,-14.612263,5.150187,-7.2611136,-5.45837,4.329738,-6.8375454,2.6642008,polish
0.000118018,0.053890895,104434,-316.07614,85.63765,3.1736429,49.331043,-9.008024,20.076834,-8.974962,11.194841,-3.0206761,3.8791454,1.3681992,2.1159825,-5.0608,polish
0.000110478,0.052194845,103816,-325.70532,96.526634,-3.0400276,52.64439,-17.284111,21.180841,-10.816304,11.703991,-2.5818148,2.0919242,3.5347087,-6.9169674,2.4091616,polish
1.77E-05,0.05053588,74477,-318.17914,88.84295,-1.0126702,53.621128,-11.593578,21.317778,-9.659852,9.757681,-2.767793,2.9062474,2.2802672,0.5761692,-3.5839922,polish
6.77E-06,0.059653506,138970,-329.6866,117.132286,12.276412,31.278788,0.94229144,17.150965,-17.370092,-4.8343506,-2.9428437,-3.3431828,-2.2725506,-6.4022503,12.461366,polish
-1.58E-05,0.058182348,99364,-332.48947,117.17544,9.650063,36.5436,0.30535027,25.532646,-11.160018,-4.773921,-5.4238477,-3.4674141,-1.6727433,-12.481917,1.1171294,polish
4.39E-06,0.058878884,88215,-320.26364,116.5483,27.725697,36.09789,2.2863936,13.698174,-3.4771724,13.061935,-9.009604,-11.141016,2.9119883,1.0317758,-1.2433885,polish
5.98E-06,0.056492597,87103,-323.00766,123.6084,22.918152,35.293167,-3.023586,11.469912,-4.1385665,7.328254,-15.319374,-3.3752956,8.346461,-3.7183154,0.17749156,polish
-6.28E-06,0.055751313,60255,-323.9102,117.23315,27.022894,38.42355,0.57806885,13.713483,-3.4096096,11.965208,-9.005947,-12.561284,3.0970585,-0.1096847,-1.6046079,polish
3.57E-06,0.047606368,73713,-337.0927,151.0073,-9.353394,35.37219,24.828876,-8.158997,5.4924026,-9.596016,-3.312148,7.3538156,-7.781721,4.4723563,7.104618,polish
1.16E-06,0.04545166,73879,-332.01526,144.51004,-7.495462,37.277355,13.48288,-11.137292,2.2783346,-9.925436,5.09536,3.8990006,-5.2448153,8.772368,-3.2554357,polish
2.66E-06,0.04392293,48882,-347.47345,157.7034,-14.134384,37.686253,24.76125,-9.888362,7.1462717,-10.512264,-3.4823918,8.479573,-8.795604,4.74309,7.3300557,polish
-9.81E-05,0.053095844,54911,-329.3058,125.17092,13.769471,61.129765,14.85045,19.448807,4.528445,2.1061444,1.6073428,3.3104405,-4.8548865,3.6804757,-0.71215236,polish
-8.65E-05,0.050844144,53969,-334.5667,136.48259,8.469486,68.43268,3.0377898,17.798128,-0.25101814,-1.7978822,6.7602863,-4.8730993,2.6420155,-1.20513,1.4374143,polish
-0.000142604,0.04844516,36452,-334.65814,128.26213,9.844506,63.35369,13.569743,20.144253,4.3841157,-0.4395426,2.1696541,2.136986,-4.5530486,3.3599951,-0.61469764,polish
-7.89E-08,0.04644853,63969,-367.60858,124.074455,0.055365793,16.995758,11.664625,-0.6335723,7.027935,-15.891513,-21.7981,-11.721317,-9.816435,0.5811337,-3.0849738,polish
-7.54E-08,0.044400852,64239,-365.2138,118.14307,-1.1349789,16.758852,5.2354093,-3.6628673,-3.7895365,-26.32583,-17.145102,-5.6042414,-3.3795338,-0.12477142,-10.889406,polish
-2.86E-07,0.04236662,43542,-376.26343,131.40999,-3.6128592,19.192228,11.866835,-1.8710974,8.398922,-17.04722,-22.546957,-11.193709,-10.456956,1.0332103,-2.8897676,polish
-0.000225229,0.06365993,102968,-309.341,118.91674,22.33082,24.13268,22.385942,8.613381,3.5953267,-3.1456814,19.313438,-6.02257,7.156243,4.078482,5.329794,polish
-0.0002589,0.06052548,39664,-316.45364,131.28969,9.889246,33.64259,10.764743,11.549651,-5.5582833,9.837453,10.984965,-3.5939164,9.419713,2.2859173,4.1907887,polish
-0.000401072,0.058889195,26582,-326.49847,139.02031,4.016296,39.71012,10.131523,18.758429,-5.3087854,4.2542243,13.04195,-1.3458922,4.04254,3.8672764,6.4331126,polish
1.68E-06,0.0329447,72014,-406.11667,124.2326,-27.925327,7.858116,52.56881,-19.606377,8.751013,6.0313177,-11.811043,0.57565916,6.4979606,-9.3420315,-4.633462,polish
1.19E-06,0.031325556,63684,-413.8449,129.1856,-42.292313,29.814968,33.391834,-18.958439,7.0280895,2.2088082,-14.276497,8.55182,-1.4209884,-10.8675375,8.312942,polish
2.91E-06,0.031785488,43410,-412.65292,141.45012,-39.833706,16.861347,43.28121,-12.878939,2.4637747,10.802132,-16.504742,2.0979006,6.5749745,-11.138171,-2.891883,polish
-1.10E-07,0.048826642,69330,-363.48672,134.59962,-15.672502,18.759588,30.28551,-2.3531463,-2.2337587,-11.11563,-18.249132,-8.707148,-6.669636,-12.916955,-13.079032,polish
-6.45E-08,0.0466573,69744,-364.46857,132.26546,-19.815077,24.82575,21.8931,-12.177145,-8.52612,-18.701382,-16.168583,-5.525473,-9.569336,-12.531654,-3.4226487,polish
-7.48E-08,0.044987563,46722,-371.04492,140.55692,-19.063408,19.972727,30.124361,-3.7054875,-1.4774667,-11.997519,-18.726969,-8.345609,-7.1333013,-12.579361,-13.116817,polish
-6.87E-05,0.057315376,106380,-304.5147,131.0296,-30.575743,44.984097,6.6151905,13.616257,7.8468833,-8.727574,10.828937,-15.034314,-1.0529864,-1.4978406,-11.575607,russian
0.000175234,0.13632245,35827,-228.42165,117.17612,-4.657328,38.276577,21.472008,3.85745,8.353526,13.202297,-1.7541026,12.220144,5.78059,12.036804,-2.8329604,russian
0.000114343,0.12945941,33863,-241.82951,134.07764,-21.568935,56.118122,3.7088463,9.928737,8.10055,9.958112,4.9708805,9.937032,11.878836,0.36833504,7.2212086,russian
-8.56E-05,0.1255883,23318,-238.18678,130.0439,-14.034919,48.20626,14.457955,8.342546,4.845455,13.962989,-2.6368008,12.111408,5.27468,10.950904,-2.7752733,russian
